
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
2026-07-11T15:07:46.661+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/ProductionPlanMapper.class]
2026-07-11T15:07:46.663+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/ProductionPlanScheduleMapper.class]
2026-07-11T15:07:46.665+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/PurchaseOrderItemMapper.class]
2026-07-11T15:07:46.665+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/PurchaseOrderMapper.class]
2026-07-11T15:07:46.666+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/PurchaseRequirementMapper.class]
2026-07-11T15:07:46.667+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/PurchaseRequirementSourceMapper.class]
2026-07-11T15:07:46.668+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/QualityInspectionItemMapper.class]
2026-07-11T15:07:46.669+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/QualityInspectionMapper.class]
2026-07-11T15:07:46.670+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/RoleMapper.class]
2026-07-11T15:07:46.673+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/RoleMenuMapper.class]
2026-07-11T15:07:46.674+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/SupplierMapper.class]
2026-07-11T15:07:46.676+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/SysMenuMapper.class]
2026-07-11T15:07:46.677+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/UserMapper.class]
2026-07-11T15:07:46.677+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/WorkOrderMapper.class]
2026-07-11T15:07:46.678+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/WorkProgressMapper.class]
2026-07-11T15:07:46.683+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/WorkReportMapper.class]
2026-07-11T15:07:46.690+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'afterSalesCaseMapper' and 'com.upc.computer.mapper.AfterSalesCaseMapper' mapperInterface
2026-07-11T15:07:46.696+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'afterSalesCaseMapper'.
2026-07-11T15:07:46.698+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'andonAlarmMapper' and 'com.upc.computer.mapper.AndonAlarmMapper' mapperInterface
2026-07-11T15:07:46.700+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'andonAlarmMapper'.
2026-07-11T15:07:46.700+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'barcodeRuleMapper' and 'com.upc.computer.mapper.BarcodeRuleMapper' mapperInterface
2026-07-11T15:07:46.701+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'barcodeRuleMapper'.
2026-07-11T15:07:46.702+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'bomMapper' and 'com.upc.computer.mapper.BomMapper' mapperInterface
2026-07-11T15:07:46.703+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'bomMapper'.
2026-07-11T15:07:46.703+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'costSettlementMapper' and 'com.upc.computer.mapper.CostSettlementMapper' mapperInterface
2026-07-11T15:07:46.704+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'costSettlementMapper'.
2026-07-11T15:07:46.705+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'customerOrderItemMapper' and 'com.upc.computer.mapper.CustomerOrderItemMapper' mapperInterface
2026-07-11T15:07:46.706+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'customerOrderItemMapper'.
2026-07-11T15:07:46.708+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'customerOrderMapper' and 'com.upc.computer.mapper.CustomerOrderMapper' mapperInterface
2026-07-11T15:07:46.709+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'customerOrderMapper'.
